Date,symbol,Open,High,Low,Close,Volume,Stock,HA_Close,HA_Open,HA_High,HA_Low,EMA_HIGH,EMA_LOW,signal,position
2026-04-08 21:05:00,COINBASE:BTCUSD,71185.33,71338.44,71164.0,71246.01,92.74679484,BTCUSD,71233.445,71152.54338732679,71338.44,71152.54338732679,71355.41097773235,71157.7707511216,,
2026-04-08 21:10:00,COINBASE:BTCUSD,71246.02,71309.68,71155.04,71200.63,90.47249596,BTCUSD,71227.8425,71192.9941936634,71309.68,71155.04,71351.05564651974,71157.51067958621,,
2026-04-08 21:15:00,COINBASE:BTCUSD,71200.63,71356.5,71185.46,71272.13,102.38864101,BTCUSD,71253.68000000001,71210.41834683169,71356.5,71185.46,71351.574156375,71160.17251962562,,
2026-04-08 21:20:00,COINBASE:BTCUSD,71272.13,71303.65,71208.31,71293.88,37.20142137,BTCUSD,71269.4925,71232.04917341584,71303.65,71208.31,71347.00995100595,71164.75704156603,,
2026-04-08 21:25:00,COINBASE:BTCUSD,71294.84,71347.94,71267.05,71309.99,30.22438838,BTCUSD,71304.955,71250.77083670792,71347.94,71250.77083670792,71347.09852710062,71174.49922808354,,
2026-04-08 21:30:00,COINBASE:BTCUSD,71310.0,71404.09,71292.68,71366.48,43.32557971,BTCUSD,71343.3125,71277.86291835396,71404.09,71277.86291835396,71352.52628642437,71185.75453969464,,
2026-04-08 21:35:00,COINBASE:BTCUSD,71366.48,71435.81,71292.35,71310.08,53.40679337,BTCUSD,71351.18,71310.58770917698,71435.81,71292.35,71360.45806866967,71195.90648829515,,
2026-04-08 21:40:00,COINBASE:BTCUSD,71310.08,71389.5,71265.39,71342.48,46.22283266,BTCUSD,71326.8625,71330.8838545885,71389.5,71265.39,71363.22396689162,71202.52396560037,,
2026-04-08 21:45:00,COINBASE:BTCUSD,71342.48,71426.06,71268.76,71387.52,64.28631778,BTCUSD,71356.205,71328.87317729424,71426.06,71268.76,71369.20835099717,71208.83215935272,,
2026-04-08 21:50:00,COINBASE:BTCUSD,71388.11,71508.61,71340.0,71508.34,59.17042589,BTCUSD,71436.265,71342.53908864711,71508.61,71340.0,71382.48469852125,71221.32433465247,BUY,BUY
2026-04-08 21:55:00,COINBASE:BTCUSD,71508.31,71511.41,71393.45,71398.97,80.52439295,BTCUSD,71453.035,71389.40204432356,71511.41,71389.40204432356,71394.76329866209,71237.71725516176,,BUY
2026-04-08 22:00:00,COINBASE:BTCUSD,71398.97,71401.57,71252.0,71298.16,78.68900351,BTCUSD,71337.675,71421.21852216178,71421.21852216178,71252.0,71395.41155593237,71239.07751657492,EXIT_BUY,
2026-04-08 22:05:00,COINBASE:BTCUSD,71298.69,71426.0,71275.5,71408.0,83.97611952,BTCUSD,71352.0475,71379.4467610809,71426.0,71275.5,71398.32474108167,71242.54632452017,,
2026-04-08 22:10:00,COINBASE:BTCUSD,71408.01,71503.0,71386.71,71464.73,96.52623482,BTCUSD,71440.6125,71365.74713054045,71503.0,71365.74713054045,71408.2938133596,71256.27619837539,BUY,BUY
2026-04-08 22:15:00,COINBASE:BTCUSD,71464.72,71612.83,71430.53,71578.81,118.51698219,BTCUSD,71521.7225,71403.17981527022,71612.83,71403.17981527022,71427.7734501825,71272.8717985301,,BUY
2026-04-08 22:20:00,COINBASE:BTCUSD,71578.8,71606.36,71501.93,71571.02,109.38822608,BTCUSD,71564.5275,71462.4511576351,71606.36,71462.4511576351,71444.78169302226,71294.68686533676,,BUY
2026-04-08 22:25:00,COINBASE:BTCUSD,71571.02,71710.2,71571.02,71608.27,93.83090996,BTCUSD,71615.1275,71513.48932881755,71710.2,71513.48932881755,71470.05962702015,71321.00430673326,,BUY
2026-04-08 22:30:00,COINBASE:BTCUSD,71608.28,71770.7,71592.29,71695.99,84.35449349,BTCUSD,71666.81499999999,71564.30841440878,71770.7,71564.30841440878,71498.69204349442,71346.84103942533,,BUY
2026-04-08 22:35:00,COINBASE:BTCUSD,71695.99,71720.34,71633.99,71684.86,72.74056927,BTCUSD,71683.795,71615.56170720438,71720.34,71615.56170720438,71519.80137268543,71374.18855948007,,BUY
2026-04-08 22:40:00,COINBASE:BTCUSD,71684.87,71813.12,71666.42,71794.01,100.38711897,BTCUSD,71739.605,71649.67835360218,71813.12,71649.67835360218,71547.73648004871,71402.02012524387,,BUY
2026-04-08 22:45:00,COINBASE:BTCUSD,71794.01,71794.01,71722.0,71756.08,144.17381923,BTCUSD,71766.525,71694.64167680108,71794.01,71694.64167680108,71571.19110099645,71432.49439903017,,BUY
2026-04-08 22:50:00,COINBASE:BTCUSD,71756.08,71766.08,71565.32,71574.97,161.35089656,BTCUSD,71665.6125,71730.58333840054,71766.08,71565.32,71589.7519485206,71445.14445626539,,BUY
2026-04-08 22:55:00,COINBASE:BTCUSD,71575.41,71662.07,71490.17,71654.91,66.33781173,BTCUSD,71595.64000000001,71698.09791920027,71698.09791920027,71490.17,71596.63938199483,71449.43260328773,EXIT_BUY,
2026-04-08 23:00:00,COINBASE:BTCUSD,71654.91,71759.46,71649.57,71752.02,126.90865194,BTCUSD,71703.99,71646.86895960013,71759.46,71646.86895960013,71612.14610751913,71468.49330773651,BUY,BUY
2026-04-08 23:05:00,COINBASE:BTCUSD,71752.02,71972.26,71710.23,71839.76,111.13452075,BTCUSD,71818.5675,71675.42947980008,71972.26,71675.42947980008,71646.4426687078,71491.51584985685,,BUY
2026-04-08 23:10:00,COINBASE:BTCUSD,71839.99,71880.0,71734.49,71871.99,86.74220391,BTCUSD,71831.6175,71746.99848990004,71880.0,71734.49,71668.68622406895,71514.65624510858,,BUY
2026-04-08 23:15:00,COINBASE:BTCUSD,71871.98,71945.66,71831.55,71923.79,63.75504909,BTCUSD,71893.245,71789.30799495001,71945.66,71789.30799495001,71695.06467891953,71544.83660271729,,BUY
2026-04-08 23:20:00,COINBASE:BTCUSD,71923.79,71931.01,71850.0,71860.44,64.83540221,BTCUSD,71891.31,71841.276497475,71931.01,71841.276497475,71717.53566187958,71573.89978341087,,BUY
2026-04-08 23:25:00,COINBASE:BTCUSD,71860.44,71941.0,71853.88,71903.97,65.16416156,BTCUSD,71889.82250000001,71866.2932487375,71941.0,71853.88,71738.8179797958,71600.56456594318,,BUY
2026-04-08 23:30:00,COINBASE:BTCUSD,71903.97,71903.98,71775.0,71861.87,72.48591463,BTCUSD,71861.205,71878.05787436875,71903.98,71775.0,71754.54769600573,71617.17746442478,,BUY
2026-04-08 23:35:00,COINBASE:BTCUSD,71861.87,71887.81,71804.45,71804.45,41.93562054,BTCUSD,71839.645,71869.63143718438,71887.81,71804.45,71767.23934400518,71635.01294400336,,BUY
2026-04-08 23:40:00,COINBASE:BTCUSD,71802.41,71802.41,71659.68,71720.37,28.62556841,BTCUSD,71746.2175,71854.63821859218,71854.63821859218,71659.68,71770.5889302904,71637.36218743162,EXIT_BUY,
2026-04-08 23:45:00,COINBASE:BTCUSD,71720.37,71783.99,71403.52,71413.99,55.07679488,BTCUSD,71580.4675,71800.42785929609,71800.42785929609,71403.52,71771.8652226437,71615.09150291432,SELL,SELL
2026-04-08 23:50:00,COINBASE:BTCUSD,71414.0,71496.47,71354.0,71408.9,51.88178863,BTCUSD,71418.3425,71690.44767964804,71690.44767964804,71354.0,71745.63710620144,71590.2256454939,,SELL
2026-04-08 23:55:00,COINBASE:BTCUSD,71409.0,71441.34,71305.84,71399.75,44.32526326,BTCUSD,71388.9825,71554.39508982401,71554.39508982401,71305.84,71716.65642942034,71563.141298304,,SELL
2026-04-09 00:00:00,COINBASE:BTCUSD,71399.76,71594.49,71399.76,71573.55,87.36613408,BTCUSD,71491.89,71471.68879491201,71594.49,71399.76,71705.0215313803,71547.581174656,,SELL
2026-04-09 00:05:00,COINBASE:BTCUSD,71573.55,71632.1,71491.18,71491.18,113.87170187,BTCUSD,71547.0025,71481.78939745601,71632.1,71481.78939745601,71698.07662362981,71542.20963421257,EXIT_SELL,
2026-04-09 00:10:00,COINBASE:BTCUSD,71491.18,71493.01,71275.0,71319.79,68.08407698,BTCUSD,71394.745,71514.39594872801,71514.39594872801,71275.0,71678.5464689984,71516.7610976209,SELL,SELL
