Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2023-06-12,1134.0059814453125,1136.311281503828,1125.264025708016,1130.057315904061,6391969
2023-06-13,1150.759521484375,1151.946463788879,1134.9647365494955,1138.9591656822827,11248016
2023-06-14,1164.910888671875,1166.3488637759137,1149.0019986007082,1150.827933567815,13277380
2023-06-15,1165.23046875,1169.7954267696327,1157.4471223513988,1164.888030487722,11813494
2023-06-16,1176.5745849609375,1178.857064328992,1168.7227738269123,1168.7227738269123,24171579
2023-06-19,1164.88818359375,1179.5874324568545,1160.7113056227922,1179.5874324568545,6798554
2023-06-20,1167.3074951171875,1170.457299404325,1157.2189687814275,1162.9480481347903,6921096
2023-06-21,1170.5943603515625,1173.1278723617306,1163.1534517577868,1167.2618659292657,6961603
2023-06-22,1157.4471435546875,1174.702723824018,1155.8494202932393,1166.8053921892115,7619166
2023-06-23,1147.9749755859375,1156.4885999942844,1146.7195697742059,1154.4343325060674,6628570
2023-06-26,1139.210205078125,1148.2716583591261,1136.0832218598148,1144.437098137329,12641159
2023-06-27,1139.62109375,1145.578264166708,1135.1474200849475,1139.666736088607,9689466
2023-06-28,1154.708251953125,1158.519990797568,1140.2600374666351,1147.1760589375283,11354006
2023-06-30,1164.180419921875,1167.1020122895738,1156.5113003301233,1162.4229485666156,11151555
2023-07-03,1194.058349609375,1196.934300105854,1166.5087289327182,1167.7413136446191,12154387
2023-07-04,1181.7557373046875,1198.3037415268395,1174.6799673322103,1198.3037415268395,8061643
2023-07-05,1179.8155517578125,1190.9997357239995,1175.8440646341217,1190.9997357239995,10248062
2023-07-06,1204.5804443359375,1207.1824197013011,1175.958111582341,1175.958111582341,19117987
2023-07-07,1202.2294921875,1216.5406584496827,1199.6730384312104,1202.8686056265724,13375267
2023-07-10,1248.5411376953125,1258.1047776229054,1221.128565671655,1227.4738168988026,33240016
2023-07-11,1262.076171875,1264.4955779542368,1249.705166712445,1256.6895309307056,20069348
2023-07-12,1263.468505859375,1279.103541836806,1260.683840337917,1262.806571231475,18733835
2023-07-13,1252.170166015625,1277.7339788902639,1249.545369524751,1270.8408996155135,14682934
2023-07-14,1251.120361328125,1260.341562579208,1243.9989491216202,1255.3657025022662,15124144
2023-07-17,1276.6842041015625,1285.060901535764,1245.3228457945552,1253.9963391795925,22220040
2023-07-18,1287.52587890625,1295.286283587151,1274.995004828538,1285.9509768018002,25867313
2023-07-19,1297.294921875,1303.7543992835303,1276.8210735612868,1291.8854597114334,39122156
2023-07-20,1295.723876953125,1301.213635792283,1276.014839753512,1276.014839753512,38717624
2023-07-21,1255.6134033203125,1293.2755748788927,1248.1205739980844,1290.3576048302098,30249238
2023-07-24,1230.2166748046875,1243.8423605772516,1221.2648606691866,1227.0514151401742,23727866
2023-07-25,1229.425537109375,1239.0203294862108,1226.5569523456327,1233.4810641733905,12026020
2023-07-26,1249.4063720703125,1259.6936470475673,1229.029726310642,1229.029726310642,12911012
